OTUId,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu481,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_stercorea
Otu482,Bacteria,Firmicutes,Clostridia,Clostridiales,unassigned,unassigned,unassigned
Otu484,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_stercorea
Otu485,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella,Barnesiella_intestinihominis
Otu486,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu487,Bacteria,Firmicutes,Clostridia,Clostridiales,unassigned,unassigned,unassigned
Otu488,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,unassigned
Otu491,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu492,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu494,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unassigned
Otu496,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,Hungatella_hathewayi
Otu497,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unassigned,unassigned
Otu499,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,Clostridium_glycyrrhizinilyticum
Otu500,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu501,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVb,Clostridium_lactatifermentans
Otu504,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu508,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unassigned,unassigned
Otu510,Bacteria,Firmicutes,Clostridia,Clostridiales,unassigned,unassigned,unassigned
Otu511,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister_pneumosintes
Otu513,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,Clostridium_scindens
Otu512,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unassigned,unassigned
Otu517,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,unassigned
Otu520,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_nordii
Otu522,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus_colihominis
Otu523,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu524,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,unassigned
Otu525,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella_clara
Otu527,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,unassigned
Otu528,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,Clostridium_aldenense
Otu529,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu532,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu533,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus_eutactus
Otu535,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,unassigned,unassigned
Otu537,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unassigned,unassigned
Otu538,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella_clara
Otu539,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
