Sample	CRE03	CR073	CR082	CR077	CR075	CR087	CR086	CR083	CRJ10	CR074	CR023	CRD01	CR056	CRF03	CR070	CRD02	CRB09	CR097	CRI09	CR071	CR084	CR089	CRF09	CRE07	CRD04	CRE04	CRJ02	CRH02	CRF02	CRC07	CR096	CRE01	CR022	CR080	CR078	CRG10	CR036	CRE02	CR092	CR021	CRC06	CR026	CR072	CR053	CR058	CRD06	CRC05	CR013	CRJ07	CRH04	CRH05	CR011	CRF07	CRA06	CR081	CRC09	CRE10	CRG02	CR076	CR032	CR038	CR088	CRJ06	CR055	CRE08	CR020	CRC03	CR018	CR066	CRG04	CR054	CRG05	CRJ03	CR037	CRI07	CRD10	CR035	CR002	CRD05	CR099	CR051	CR057	CRF01	CR085	CRH01	CRB05	CR098	CRF04	CRB01	CR003	CR034	CR090	CRE09	CRD08	CRB02	CR007	CR010	CRD09	CRE05	CR012	CR061	CRI03	CR025	CRJ04	CR068	CR050	CRJ09	CR046	CRJ01	CRC02	CRH07	CR005	CRI04	CRC01	CRA04	CRI01	CR028	CR029	CRI02	CRG03	CR059	CR027	CRD07	CR079	CRB07	CR093	CR006	CR024	CRH03	CR014	CRF10	CR067	CR065	CRG06	CRH06	CRD03	CRJ08	CR052	CR016	CRC04	CR045	CR069	CRF05	CRG01	CRB10	CR008	CR048	CRH08	CRH09	CR015	CR001	CRF08	CR064	CR009	CR063	CR033	CR039	CR094	CR043	CR031	CR041	CRI10	CR091	CRC10	CRI05	CR062	CRA09	CRG08	CRA05	CRB08	CR044	CRA10	CR019	CR004	CR017	CRJ05	CRA07	CR060	CRI06	CRE06	CRF06	CR030	CRB06	CRA03	CR047	CRG07	CR095	CR042	CRH10	CR040	CR049	CR100	CRI08	CRA01	CRB03	CRB04	CRG09	CRA08	CRC08	CRA02	FJ006	FJH07	FJ055	FJ061	FJH06	FJ059	FJ084	FJ050	FJJ07	FJ051	FJI02	FJ075	FJ068	FJ010	FJ064	FJ085	FJ100	FJ030	FJ007	FJ036	FJ001	FJ026	FJ021	FJI07	FJ072	FJ033	FJJ10	FJ012	FJ046	FJ008	FJ024	FJ011	FJ067	FJI08	FJE02	FJ071	FJ045	FJ039	FJ002	FJ066	FJ031	FJ047	FJ086	FJ040	FJ092	FJJ02	FJA02	FJF02	FJK01	FJH02	FJ049	FJD08	FJH10	FJD06	FJ016	FJD07	FJD09	FJ093	FJH08	FJE04	FJ014	FJE08	FJE07	FJB02	FJ065	FJB01	FJ005	FJE09	FJE01	FJA01	FJ015	FJ013	FJA04	FJJ03	FJF01	FJ083	FJE06	FJJ06	FJF04	FJA08	FJ023	FJ098	FJJ05	FJ034	FJH01	FJA07	FJ060	FJ004	FJD02	FJ080	FJH05	FJA09	FJ073	FJ095	FJ058	FJB04	FJG08	FJA06	FJH03	FJH09	FJ019	FJ099	FJE05	FJ009	FJC02	FJD01	FJF06	FJC07	FJ082	FJG02	FJA05	FJC08	FJ027	FJ041	FJC06	FJC09	FJF05	FJ069	FJB05	FJD04	FJF07	FJE03	FJ048	FJB07	FJ081	FJC04	FJB08	FJ076	FJ043	FJ025	FJ020	FJ042	FJF09	FJ070	FJ037	FJA03	FJF03	FJ003	FJ022	FJ053	FJJ09	FJ088	FJB06	FJB09	FJB03	FJ028	FJJ01	FJ078	FJJ08	FJ063	FJ035	FJ044	FJ074	FJ029	FJ038	FJ018	FJ056	FJ077	FJD05	FJ096	FJE10	FJC05	FJG09	FJD10	FJI06	FJ054	FJ017	FJ079	FJG07	FJG10	FJA10	FJ091	FJ062	FJD03	FJ094	FJC03	FJG03	FJ052	FJJ04	FJ087	FJI09	FJC10	FJI10	FJ057	FJI05	FJB10	FJG06	FJI01	FJ090	FJG05	FJ089	FJG01	FJG04	FJF10	FJH04	FJF08	FJI04	JKJ03	JKI02	JKC04	JKD08	JKG03	JKB04	JKC09	JK015	JK006	JK005	JKD02	JK076	JK016	JKI08	JK035	JKI03	JK036	JK046	JKI09	JKB10	JK056	JKI10	JK072	JK003	JKA10	JKD04	JK066	JK025	JKJ01	JK042	JKD09	JK040	JKG09	JK026	JKE08	JKJ04	JK028	JK052	JK012	JKE04	JK071	JKD07	JKI05	JK002	JK032	JK062	JKH07	JK061	JK088	JK057	JKA02	JKJ05	JKH08	JK074	JK089	JK067	JK018	JK099	JKC05	JK038	JK055	JK047	JK070	JK022	JK008	JKC08	JK050	JK013	JK048	JKE07	JK098	JKF03	JKG04	JKC07	JKA09	JK033	JK077	JKB08	JK045	JK051	JKA05	JKF10	JK043	JK053	JK041	JKE01	JKE09	JK075	JKF09	JK063	JK064	JK011	JK060	JK001	JKA01	JK039	JK054	JK019	JK086	JK034	JK004	JK031	JK058	JK065	JK009	JK073	JKG05	JK021	JK087	JKJ06	JK078	JK097	JKF08	JK007	JK096	JK044	JK068	JK017	JK024	JKF04	JK023	JK014	JKG10	JK037	JK085	JK091	JK095	JK029	JKH04	JK030	JKD01	JKE10	JKG08	JK094	JK059	JKH09	JKJ08	JKA07	JKJ10	JK010	JK069	JK049	JKD10	JK084	JK027	JKI01	JK079	JKB02	JK020	JK081	JKC10	JKJ07	JKD03	JKB09	JKB03	JKA08	JKD05	JKI07	JKG07	JKA04	JKE03	JKA06	JKC02	JKJ02	JKH03	JKH01	JKJ09	JKC01	JKA03	JKF05	JKE05	JKF02	JKC03	JKB05	JKE02	JK093	JKF07	JKF01	JK083	JKH05	JKB01	JKG01	JKG02	JKC06	JKH02	JKD06	JKH10	JK082	JKF06	JK080	JK090	JKH06	JKG06	JKB06	JKE06	JZA07	JZ093	JZK02	JZ010	JZA02	JZJ05	JZA05	JZ013	JZJ02	JZ070	JZ078	JZ030	JZ068	JZ090	JZ019	JZ022	JZ072	JZA03	JZ020	JZ091	JZH09	JZ079	JZK01	JZ012	JZF03	JZ008	JZ018	JZB09	JZ092	JZ069	JZJ08	JZ058	JZF06	JZ021	JZ095	JZ097	JZA06	JZI10	JZ023	JZ075	JZ048	JZF10	JZ002	JZB07	JZ032	JZI01	JZ014	JZ065	JZE05	JZB10	JZ100	JZ074	JZ029	JZ001	JZ098	JZH04	JZ009	JZ031	JZD06	JZG05	JZ052	JZB05	JZ033	JZ071	JZE04	JZ003	JZ025	JZD10	JZ050	JZ028	JZ017	JZJ04	JZI04	JZ039	JZ042	JZ073	JZ045	JZG10	JZB03	JZ055	JZ062	JZF09	JZ059	JZ077	JZ015	JZ096	JZE03	JZ027	JZE02	JZ067	JZ089	JZI08	JZJ03	JZD01	JZ040	JZ060	JZ061	JZB06	JZ094	JZ016	JZ049	JZ085	JZF07	JZ026	JZC02	JZ038	JZB02	JZ005	JZ011	JZE06	JZ099	JZ051	JZE09	JZI02	JZ057	JZA04	JZ064	JZ047	JZB08	JZE07	JZ056	JZA09	JZ044	JZI09	JZH03	JZC07	JZ054	JZD03	JZ063	JZG03	JZA08	JZ066	JZ041	JZA10	JZJ07	JZ087	JZ082	JZ037	JZA01	JZ053	JZ006	JZC08	JZ035	JZ046	JZD02	JZ080	JZI03	JZ043	JZ007	JZH08	JZC06	JZB01	JZ036	JZI05	JZC09	JZC10	JZ024	JZC03	JZD07	JZG01	JZ081	JZ083	JZK03	JZD04	JZF05	JZF04	JZG09	JZG07	JZJ06	JZ086	JZE08	JZI07	JZJ09	JZD05	JZJ10	JZC05	JZ004	JZ034	JZD08	JZ084	JZG08	JZG04	JZE01	JZC01	JZH05	JZF02	JZH01	JZC04	JZF08	JZH06	JZE10	JZG06	JZH07	JZ088	JZH10	XR038	XR097	XRK03	XR022	XR028	XR007	XR029	XR048	XR100	XR035	XR096	XR091	XR004	XR034	XR051	XR024	XR083	XR071	XR032	XR073	XR047	XR078	XR016	XR053	XR093	XR039	XR037	XR030	XR005	XR063	XRD04	XRJ09	XRC06	XRJ07	XR036	XR046	XR049	XR087	XR061	XR031	XRG04	XR094	XR026	XR092	XRJ08	XR010	XR023	XRJ06	XRD05	XR043	XRD01	XRG01	XR086	XRD03	XRE06	XRG05	XR041	XRC08	XRF04	XR058	XRB06	XR057	XR011	XR095	XRF08	XR033	XRC10	XR042	XR008	XR090	XRF10	XRG03	XR006	XRA06	XR065	XR068	XRC04	XRE04	XRK05	XRG06	XRJ02	XRF05	XRF07	XR056	XRC07	XR020	XR040	XR080	XRF01	XR019	XR077	XR060	XRE08	XR067	XRD02	XR009	XRF03	XRE01	XR003	XR012	XRI08	XRH04	XR081	XRJ01	XRA10	XRA08	XR076	XRB03	XRI07	XR027	XR017	XRD06	XRA04	XRE10	XRB01	XRI09	XRD08	XRC05	XR075	XRI06	XRB08	XR021	XR099	XR085	XRH05	XRC01	XRC09	XRG02	XRC03	XR002	XR088	XRH03	XRD10	XRB10	XRH01	XRE05	XRA07	XRG10	XRJ04	XRF09	XRA05	XRD07	XR044	XR098	XRA01	XRG08	XR055	XRB07	XRG07	XR066	XR079	XR018	XRA03	XRF02	XRJ05	XRI02	XRE09	XRB02	XR069	XR045	XR074	XR025	XRD09	XRJ10	XR050	XRE07	XR054	XRC02	XR070	XRH02	XR014	XR013	XRH07	XRJ03	XRH08	XR064	XRA09	XRI01	XRK01	XRH06	XR059	XR084	XRB09	XRG09	XRH09	XR001	XRA02	XRI04	XR082	XR089	XR015	XR062	XR052	XRI10	XR072	XRI05	XRI03	XRK04	XRH10	XRK02
label	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NAA	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	NM	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Parabacteroides	7.63677061	1.291509058	3.594646269	2.750730793	0.624985999	0.993584404	2.899648737	1.220083468	1.697964198	0.625994473	1.382163923	3.984608268	1.800075794	1.630182633	1.736977999	2.704687565	0.186985019	0.871717372	0.738777469	1.167547299	0.499725888	1.068562548	5.34712989	1.408624992	2.061452283	1.866005788	6.481522169	2.248197692	0.907104276	1.207184628	2.527091652	3.611657804	1.867593484	3.115403443	2.732644018	0.400398281	1.804351672	3.486109032	3.651809124	2.772678355	2.283638794	2.540231124	2.551384977	3.237242081	2.378740412	0.81324129	4.337056007	1.661122528	1.518524233	1.279993415	3.152745062	2.085676094	1.254671091	0.914741167	1.193157212	2.710537132	2.571632155	0.843134475	7.055201135	1.820766353	2.190580504	3.23629441	0.854573353	2.045537302	1.354489165	1.530105165	1.674596023	2.146846106	1.888598225	0.831291748	1.416944292	1.527409094	2.38305774	1.024858731	3.530530318	4.638957974	2.029319645	2.023133724	2.29004291	0.88573014	2.27976475	1.224586086	0.789216806	1.046025104	8.619955635	0.290516704	1.659221444	1.707073647	0.627919607	1.978505129	3.965207856	1.786824114	2.724320555	2.156698644	0.413282614	0.781991705	1.194119929	3.460721872	2.596166055	2.967314354	2.53412538	2.079872416	2.051741465	3.927068723	2.268558951	1.194217472	1.21468358	1.39119783	4.039827185	1.566045292	1.776912824	4.24423811	2.748243485	1.778305964	2.823444461	10.80193454	1.759787836	0.89758649	2.788862585	1.238128927	1.201213948	0.639155798	1.910643236	1.091408254	0.697383193	1.830946242	4.573861064	2.127921581	2.760424235	3.652097047	0.725682861	1.105979066	1.848696542	1.068792943	0.86420014	1.492067771	4.012220878	1.527257149	2.813775964	0.714578214	1.599641536	1.334195495	1.015962129	0.944891876	0.401403815	2.526756783	2.112172904	1.49142616	2.259823801	1.726758824	2.676110918	1.001922152	1.246588004	1.826395297	1.720457378	1.124382207	1.03670558	0.669896779	1.572829797	1.311286044	1.452435895	0.766235917	0.965061781	0.601623965	3.621274986	1.681658192	1.299642599	1.47405231	0.454601811	4.153479198	0.827550536	0.797264124	1.253010877	2.62980445	0.509156067	3.199571215	0.756234246	0.822375288	1.612530613	0.983482168	0.577835274	1.155316194	0.574411392	0.507404811	0.583912432	0.781014677	0.554207034	1.066857924	1.368635081	0.653453816	0.64354742	0.262809369	1.448140072	0.405895691	0.770804489	0.52509977	0.307958403	1.76867532	0.981876288	0.330370654	0.961320733	1.742103216	0.685967493	1.540906146	0.768278091	0.832285114	0.766247502	0.850145361	0.929775338	0.680373041	8.142647983	2.123965017	4.300486488	0.678278688	0.821342427	1.607207824	1.089695138	0.692190776	3.073359075	0.854293238	1.384105673	0.92331314	0.882140276	6.246266749	0.766915433	0.858967161	1.245043451	0.620267971	0.614055036	1.536596074	0.90596947	0.769278362	0.424871313	4.410675461	1.840806694	1.021775544	0.698047155	0.835329652	1.552073964	1.674821635	1.13895216	0.916827694	0.632409418	0.781554491	0.792013171	1.10586481	2.232659749	3.590568061	4.403837175	0.9016056	0.401474264	2.748775661	0.436427118	1.066170248	0.504817765	1.001853741	1.005343527	1.970922939	0.43851484	2.927748693	1.019428864	4.925307833	2.091410131	1.622154116	1.10226291	1.036149154	2.095745427	1.931123943	0.995803846	1.17491524	1.524190998	0.959696938	2.595941586	0.89837515	2.125214191	2.139976583	2.050187557	0.831407823	4.85989126	2.016556077	0.829745433	1.247822298	0.425697385	1.141348413	0.37212025	0.821917809	0.712446352	1.243246762	1.47718055	0.673688599	1.130515299	0.83848944	0.893024418	0.92390498	0.782981542	2.447033897	0.510034831	0.987718498	1.005486369	0.398346966	0.85537041	1.247939233	0.976578836	0.754381614	1.190604113	0.724637682	1.992355165	0.533115906	0.829073684	0.735218404	0.981157553	1.806505948	0.621311612	0.551670394	0.668132431	0.612033851	1.746044929	0.647088104	0.932146456	1.770322798	0.926502859	0.688865853	0.732885685	0.591216215	0.739798118	1.783721175	1.561183212	0.804995954	1.128578864	0.517037731	0.486307159	0.501987459	0.603882709	0.95738445	0.678747119	0.61714886	1.565636287	0.7340711	0.431843785	0.784373704	0.721506776	1.011692143	0.575733581	0.54997356	0.578305056	0.915181824	0.633789291	0.799025478	1.820236001	0.887138653	0.628546116	0.708628597	1.539324444	0.600305381	1.479733196	7.285959606	0.520647121	0.478586604	0.543399055	0.580949949	1.354506257	0.599340097	0.694940162	0.50020842	0.965386362	2.489907165	0.494845363	0.407351497	0.733003862	0.461716842	0.550540939	0.631433473	0.64651964	0.32545932	0.690007098	0.333544436	0.799211061	0.909853522	0.699657946	0.3130413	0.523634592	0.349128229	0.507841066	0.273171972	0.488395479	0.328075708	0.505909452	0.674543502	0.279607305	0.41670122	0.25399513	0.237961051	0.31518922	0.19872186	0.341736102	0.159707484	0.112023094	2.956763122	1.217519202	1.31221257	0.769892381	1.540191357	2.333935461	3.97038331	1.372208555	1.135376598	1.296592926	0.988068605	1.623425235	1.096845508	0.882646717	1.475459855	0.774131955	1.270948852	1.992116756	1.908420217	1.939484744	3.525185061	0.778605984	0.535706659	1.162183336	2.145207561	0.709880378	2.202782462	0.967991741	0.570922132	0.816549868	0.613359598	0.750688132	2.29853634	0.896517454	0.585183648	0.397295014	0.723249456	0.988096492	0.809698782	1.349711859	0.782825032	0.635313533	0.824017887	0.828208792	0.815763052	0.973074121	0.786244855	1.555976413	2.586824629	0.908606261	0.631869262	0.681196062	1.176914054	1.095575068	0.923713967	0.953230154	0.919235537	0.756676888	2.000893066	1.239241228	0.894427843	0.736170215	0.465933882	0.539304151	0.86967403	1.757582253	0.753260303	1.145054656	0.910663306	1.51943016	1.980335454	1.134192195	1.410437236	8.277455231	1.037459248	1.062212273	0.527978625	0.756523721	0.745664141	1.146911914	0.483644606	0.85059563	0.480309438	0.612028229	1.078207721	0.497809639	0.561157189	0.542319947	0.864801917	0.583878354	1.510465972	1.362687904	0.700871408	1.231656735	0.631326641	0.533728689	1.465168538	0.523414803	0.696718611	1.100815512	1.097251587	1.239299327	0.888666374	1.052958214	0.449878157	0.291906693	0.293114917	0.968548886	0.880473066	0.694906167	0.662532014	0.764067255	6.296280534	0.821486337	0.592442586	1.435386409	0.985611828	0.830455876	0.693484272	1.178402193	0.652254533	0.782410176	0.99702809	0.84911532	2.509872161	1.270962473	2.627116776	0.269485031	0.801225647	0.357060346	0.392670158	0.814976542	0.981673991	1.283155747	0.871570308	0.727877717	0.618719464	0.627228865	0.674363518	0.309402033	0.904162916	0.670785897	0.604791314	1.33464794	0.547849906	0.46852845	0.561880824	0.539713393	0.229498165	1.329143388	0.849283547	0.821245734	0.672956246	1.072284033	0.85252767	0.477111012	0.312012482	0.525863692	0.639067006	0.415025176	0.522296441	0.656122361	0.655290101	0.623413544	0.679194023	0.792525772	0.37988308	0.494251189	0.489321999	0.408891841	0.435167252	0.782244486	0.609742625	0.28461648	0.356377578	0.713216722	0.619155658	0.399067348	0.766524544	0.33673599	0.434356769	0.593428558	0.37819294	0.598689582	0.48661288	0.652741513	0.307519688	0.820827256	2.388305539	0.66978268	0.580791854	0.345395849	0.486120277	0.314832578	0.342621709	0.983290226	3.158115184	2.469135803	1.810355741	1.9104736	1.444286006	0.786559274	3.329057223	0.137863748	0.542668654	1.056143483	1.815000633	1.761323561	2.025827105	2.075748066	1.292101892	1.363568037	0.81447584	1.665898329	2.90018361	0.522787638	0.506632469	1.769410126	1.445294341	3.422280971	3.186386229	1.76485419	0.542057676	3.899590864	0.710718799	0.717072873	2.000696298	1.107558565	2.929560983	2.146728694	0.924277115	3.017855646	0.366443644	2.979910246	1.46537162	1.546973313	0.193943946	0.741726892	1.222930466	0.925770426	1.287282823	1.526043908	1.7281106	1.5577451	0.71974717	1.810237204	1.140141507	2.039319252	1.747027119	4.900747615	0.357517503	0.776281926	2.451539337	0.359187582	0.994653735	2.986745082	1.145077402	1.272572765	0.639494029	1.129352714	1.371294787	1.5766543	2.219125215	1.223341621	2.827658708	2.218596371	0.715056379	2.236605357	1.445833333	1.488006158	0.538979787	1.395182196	0.502885759	1.010983524	2.471535684	2.309800338	1.937236844	0.623507281	0.759078754	1.059109397	12.41922218	0.78377235	1.837275822	0.410961778	1.060990832	0.091695322	1.273992475	0.462044854	0.313948894	0.660300253	0.694975771	0.926146839	1.362414467	2.766377181	1.016151459	0.449843486	1.003201708	0.321030571	1.502550103	1.362509474	0.764375723	1.243722619	0.707591088	0.967795073	0.262722383	1.157208984	0.910097433	1.030114316	0.702173063	1.04021284	0.413168938	1.04643698	0.976767053	0.993377483	0.857651093	0.721395697	0.406767127	0.799207397	0.532668718	0.685034628	0.971290696	1.042824744	0.579223506	0.803126149	2.016230235	0.918220947	0.609171654	0.643781553	0.396333407	0.375002534	0.717288605	0.937035524	0.584526745	0.355096243	0.834089249	0.507147135	0.702653549	0.454186835	0.502054821	0.702726163	0.503724113	4.405712903	0.589920063	0.454957181	0.397406863	0.641104926	1.039695485	0.424929179	0.423315556	1.651437673	1.370665662	0.967349338	0.522515481	0.435634485	0.859451835	0.405036337	0.499901707	0.556093442	0.462615654	0.602605863	0.93457944	0.57803468	0.38105947	0.229781298	0.353625202	0.683675548	0.491323438	0.533870665	0.340871302	0.314307267	0.528385095	0.282096286	0.295946815	0.543255652	0.566420859	0.811987096	0.908066003	0.352163439	0.365076421	0.770370991	0.263354347	0.200919674	0.729911999	0.329561	0.266384871	0.285936547	0.208224885	0.276180464	0.420194817	0.534591852	2.762349883	0.870906092	2.215855217	1.021809708	10.82961885	2.632906072	1.423139829	1.374336645	0.960691183	0.706860706	1.672984478	1.386968451	0.904029094	2.102783727	2.406879175	0.955259207	2.563562002	0.939896631	1.39695563	1.305472226	1.512074026	2.16481755	0.375786465	2.896127488	1.282840942	0.891048169	1.43219951	1.028485943	0.910567716	2.215697299	0.79183256	1.139588982	0.944092368	1.204896495	0.460762841	0.566185521	0.476140754	2.30149845	1.33227365	1.339682538	0.932620317	0.631993369	0.875379404	0.486195893	2.629965537	1.227649928	2.483269496	1.219798764	0.690935788	1.626655628	1.28762948	1.39907017	0.88737926	1.671916126	0.95680757	0.810042837	0.549402441	0.767758492	0.604731384	1.91687942	0.89393417	1.664508184	0.43699315	0.314488056	1.083163091	1.651002244	0.786734185	0.614214683	1.253733854	1.845397198	1.128644361	1.746818146	0.665704374	0.945400467	0.627588539	3.479070557	0.654728351	0.373271194	1.004271278	1.002051109	1.463841409	0.62977863	1.42751087	1.161582975	1.143621612	0.707189401	0.403783517	1.21382875	1.015856755	0.622713636	0.9151224	1.25193006	0.75162783	1.367026607	0.827978783	1.030483425	1.267017685	0.829930473	1.593157807	0.505008172	1.930324094	0.786980602	0.593154619	0.887542404	0.906527415	0.948105885	0.871354484	1.407503886	0.786700311	1.268755049	0.825254045	0.442977322	0.583703514	0.753075056	1.114020775	0.670534325	0.460329756	0.467077521	1.0978088	0.857772359	0.564498819	0.737891678	1.046712805	0.339565871	0.674133333	0.89022099	0.615747692	0.953959248	1.167522424	0.726266284	1.171681491	1.289334268	0.423203523	0.660934292	1.0893388	0.347904604	1.032971619	0.763019952	1.914555638	0.761577464	0.497000857	0.632322049	0.348894453	0.911674913	0.816290898	0.747895209	0.514289298	0.779838934	1.07130759	0.735570693	0.790870602	0.527122664	1.13109233	0.609094703	0.65740045	1.106470446	0.508905852	0.740365753	0.751201292	0.300389237	0.487668642	0.426742531	0.282203795	0.624077587	0.326727139	0.708053062	0.742783069	0.590390001	0.870472813	0.629770993	0.426943007	0.452917631	0.469113067	0.43490136	1.329481024	0.726914695	0.531305345	0.500202785	1.470620562	0.53452016	1.013881032	0.572848657	0.374286321	0.540494711	0.398336232	0.470414989	0.455300696	1.367363541	0.370032197	0.63671647	0.233589783	0.645912747	0.576032057	0.413735172	0.430254108	0.509562289	0.30024803	0.664492708	0.223578984	0.100579938
