OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
Otu45	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megamonas	Megamonas_funiformis
Otu48	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter_saccharivorans
Otu50	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_copri
Otu42	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassify	Unclassify
Otu46	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiracea_incertae_sedis	Eubacterium_eligens
Otu55	Bacteria	Firmicutes	Clostridia	Clostridiales	Unclassify	Unclassify	Unclassify
Otu49	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	Gemmiger_formicilis
Otu56	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	Unclassify
Otu57	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_massiliensis
Otu51	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Unclassify
Otu52	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_coprophilus
Otu53	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus2	Ruminococcus_torques
Otu54	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiracea_incertae_sedis	Eubacterium_eligens
Otu64	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	Gemmiger_formicilis
Otu61	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	Clostridium_bolteae
Otu68	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_ovatus
Otu60	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_fragilis
Otu69	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_stercorea
Otu66	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_copri
Otu59	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_massiliensis
Otu67	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_massiliensis
Otu65	Bacteria	Firmicutes	Clostridia	Clostridiales	Unclassify	Unclassify	Unclassify
Otu62	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassify	Unclassify
Otu58	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megamonas	Unclassify
Otu83	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unclassify	Unclassify
Otu63	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_fragilis
Otu73	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_massiliensis
Otu77	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassify	Unclassify
Otu80	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Unclassify
Otu71	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_uniformis
Otu74	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_caccae
Otu70	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	Akkermansia_muciniphila
Otu90	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassify	Unclassify
Otu75	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia_hominis
Otu76	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megamonas	Megamonas_funiformis
Otu79	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unclassify	Unclassify
Otu78	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_copri
Otu82	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus_bromii
Otu72	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium_necrogenes
Otu86	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unclassify	Unclassify
Otu89	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_xylanisolvens
Otu88	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus2	Ruminococcus_faecis
Otu81	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_caccae
Otu87	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	Romboutsia_sedimentorum
Otu85	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister_succinatiphilus
Otu94	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides_distasonis
Otu95	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassify	Unclassify
Otu98	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus_bromii
Otu100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassify	Unclassify
Otu84	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_copri
Otu92	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_stercoris
Otu129	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_stercorea
Otu109	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Unclassify	Unclassify
Otu93	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megamonas	Megamonas_funiformis
Otu91	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister_invisus
Otu96	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unclassify	Unclassify
Otu97	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unclassify	Unclassify	Unclassify
Otu104	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_copri
Otu108	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_copri
Otu154	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus_parainfluenzae
Otu107	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unclassify	Unclassify
Otu105	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiracea_incertae_sedis	Eubacterium_eligens
Otu106	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	Unclassify
Otu99	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unclassify	Unclassify
Otu101	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unclassify
Otu111	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea_longicatena
Otu117	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unclassify
Otu290	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unclassify
Otu110	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unclassify	Unclassify
Otu119	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unclassify	Unclassify
Otu121	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unclassify
Otu103	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unclassify
Otu116	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unclassify	Unclassify
Otu113	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Flavonifractor_plautii
Otu118	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_copri
Otu102	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unclassify
Otu112	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_ovatus
Otu114	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella_clara
