Sample,label,Parabacteroides,Eubacterium,Gemmiger,Alloprevotella,Ruminococcus,Megasphaera,Blautia,Odoribacter,Butyricimonas,Bifidobacterium,Fusicatenibacter,Dialister,Clostridium_XVIII,Pyramidobacter,Turicibacter,Anaerostipes,Sutterella,Coprococcus,Megamonas,Escherichia/Shigella,Flavonifractor,Intestinibacter,Prevotella,Collinsella,Barnesiella,Haemophilus,Anaerotruncus,Dorea,Roseburia,Phascolarctobacterium,Lachnospiracea_incertae_sedis,Streptococcus,Oscillibacter,Clostridium_XlVb,Clostridium_sensu_stricto,Desulfovibrio,Romboutsia,Clostridium_IV,Bacteroides,Paraprevotella,Veillonella,Akkermansia,Parasutterella,Clostridium_XlVa,Holdemanella,Alistipes,Eisenbergiella,Fusobacterium,Faecalibacterium,Bilophila,Ruminococcus2,Catenibacterium
JZD06,B,0.359187582,0.108844722,0.300411433,0.05877615,0.317826589,0,0.962187343,0.028299628,0.002176894,0.023945838,0.211158761,0.002176894,0.017415156,0,0.002176894,0.056599255,0.089252672,0.441909571,0.222043233,1.077562749,1.05361691,0.060953044,4.273243785,0.013061367,0.006530683,0.004353789,0.002176894,0.063129939,1.140692688,0.148028822,1.308313558,0.004353788,0.141498138,0.097960251,0.0391841,0.028299627,0.09796025,0.030476521,34.67357467,0.239458389,2.105056925,15.74983129,0.03483031,5.64468729,0.010884472,0.189389816,0.004353789,0.222043234,3.269695451,0.028299628,0.6269456,0
JZG05,B,0.994653735,0.240374654,2.322930913,0,0.745990302,0.006216586,1.077541546,0.053877077,0.002072195,0.006216586,0.36470637,0.03522732,0.433088814,0,0.006216586,0.178208794,1.842181608,0.292179536,0.366778565,1.483691823,0.288035144,0.031082929,4.457292055,0.043516101,0.018649757,0.080815616,0.010360976,0.279746363,1.303410834,0.256952215,5.965850222,0.010360977,0.348128808,0.205147334,0.118115131,0.008288781,0.03522732,0.049732687,33.67317335,4.3060218,0.014505366,0.002072195,0.053877078,1.562435244,0.358489784,0.323262464,0.010360977,15.41506071,9.150814373,0.213436114,0.277674168,0.002072195
JZB05,B,1.145077402,0.684579487,1.157412167,0,0.762699668,0.008223177,1.87899595,0.145961392,0.002055794,0.499558004,0.992948626,0.002055794,0.692802665,0,0,0.450218943,0.053450651,1.112184694,1.044343482,0.269309048,0.195300454,0.022613737,2.240815741,0.170630924,0.032892708,0.047283268,0.020557943,0.164463541,11.76531053,0.758588081,1.180025904,0.012334766,0.330982876,0.409103057,0.092510743,0.037004296,0.098678124,0.039060091,33.1476266,0.104845508,0.010278972,0,0.088399153,1.53567831,0.006167383,1.445223362,0.002055794,0.228193163,17.09598503,0.022613737,0.789424994,0.002055794
JZ033,B,1.272572765,0.414276609,0.365413215,0.008497982,0.3717867,0.05098789,0.497131931,0.089228808,0.407903123,0.019120459,0.155088167,0.0467389,0.029742936,0.004248991,0.012746973,0.07010835,0.044614403,0.186955599,1.053749735,0.713830465,0.218823029,0.010622477,25.96770767,0.218823029,0.02336945,0.059485872,0.012746973,0.070108349,3.089016358,1.763331208,2.007648184,0.093477799,0.456766519,0.159337159,0.261312938,0.131718717,0.212449543,0.036116423,32.41767579,0.082855321,0.118971744,0,0.54811982,1.474399829,0.006373486,0.645846611,0.021244954,1.844062035,11.69959635,0.208200552,0.703207988,0
JZ003,B,1.371294787,0.459885447,0.227852335,0,0.301015929,0,0.309377483,0.071073205,0.035536603,0.004180777,0.133784857,0.048078933,0.012542331,0,0.010451942,0.020903884,0.06480204,0.242485054,0.424348844,0.037626991,0.24666583,0.010451942,39.54387725,0.05225971,0.252936996,0.035536603,0.008361554,0.09197709,1.538525858,2.661064426,0.869601573,0.066892429,0.499602827,0.10451942,0.18186379,0.043898156,0.154688741,0.03971738,32.03102136,0.399264184,0.025084661,0,0.524687488,1.013838372,0,0.526777875,0.022994273,0.574856808,5.815460513,0.048078933,0.317739036,0.006271165
JZD10,B,2.219125215,0.90051458,5.720411663,0.012864494,2.039022299,0.002144082,0.728987995,0.057890223,0.017152659,0.418096055,2.032590051,0,0.051457976,0.002144082,0.002144082,0.070754718,2.131217839,0.767581475,6.721698113,1.09348199,0.364493996,0.090051458,3.535591768,0.0364494,0.053602058,0.008576329,0.008576329,0.107204116,4.063036021,0.829759863,1.573756432,0,0.57890223,0.109348198,0.09219554,0.010720412,0.325900515,0.139365352,31.12778731,1.734562607,0.010720411,0.045025729,0.036449399,0.902658662,1.331475129,1.052744426,0,0.814751286,9.230274442,0.006432247,0.398799314,0
JZE04,B,1.129352714,0.610687022,1.476524104,0,7.989124752,0,2.988601904,0.388999268,0.020913939,0.087838544,1.652201192,0.025096726,0.407821814,0.01045697,0.002091394,0.133849211,0.07529018,0.439192722,0.006274182,0.376450905,0.363902541,0.066924605,4.117954615,0.050193454,0.006274182,0.098295514,0.043919272,0.301160724,2.08930252,0.110843878,4.379378856,0.006274182,1.430513438,0.847014535,0.698525568,0.054376242,0.255150058,0.443375511,32.14054167,0.384816481,0.016731152,0.01045697,1.428422045,1.813238523,0.002091394,0.227961936,0.004182788,0.039736484,11.13039841,0.054376242,1.6835721,0
JZ028,B,2.827658708,0.253159125,0.22741413,0.109416232,0.175924138,3.471283603,0.757331961,0.143742894,0.002145416,0.48915492,0.731586964,0.051489992,0.023599579,0,0.008581665,0.036472077,0.137306645,0.100834567,16.62697646,0.347557444,0.190942053,0.027890412,15.24103752,0.216687049,0.006436249,0.120143314,0.006436249,0.053635408,3.252451138,0.212396216,2.126107572,0.087962069,0.109416232,0.092252902,0.632897814,0.002145416,0.117997897,0.027890412,30.37480423,0.253159125,0.182360387,0.008581665,0.334684945,1.529681835,0,0.077234986,0.006436249,0.212396216,8.242689494,0.098689151,0.319667031,0.002145416
JZ025,B,1.5766543,0.176861358,0.381761712,0.133724442,0.222155121,0.062548529,2.859977567,0.023725304,0.002156846,0.032352687,0.923130015,0.047450609,0.094901216,0,0.010784229,0.062548529,0.023725305,0.120783366,0.923130015,1.947631783,0.159606592,0.0517643,18.9241653,0.107842291,0.004313692,2.398412561,0.002156846,0.135881287,6.492105943,0.718229662,4.714864982,0.489604003,0.097058061,0.17039082,2.637822449,0.004313692,0.606073678,0.064705375,31.42308688,0.112155982,0.463721853,0.006470537,0.327840566,1.772927272,0.006470537,0.189802433,0.006470538,1.902338021,4.167026142,0.153136054,0.483133465,0
JZ071,B,0.639494029,0.714453034,0.688685875,0.140548138,0.960412276,0.004684938,1.133754979,0.02342469,0.007027407,0.021082221,0.470836261,0.058561724,0.070274068,0,0.084328883,0.119465918,0.416959475,0.332630592,0.337315531,1.644413212,0.374795034,0.046849379,7.160927618,0.719137971,0,0.037479504,0.002342469,0.192082455,5.954556102,0.653548842,2.494729447,0.016397283,0.255329118,0.337315531,0.220192082,0.025767159,0.060904193,0.093698759,32.18083861,0.323260718,0.063246663,4.574841883,0.222534552,1.447645819,0.133520731,0.156945422,0,2.974935582,9.044272663,0.126493324,0.847973764,0.030452097
JZ017,B,2.218596371,0.080522122,0.383539583,0.002119003,0.370825562,0.033904052,0.805221223,0.055094084,0.027547042,0,0.19071029,0.1970673,0.021190033,0.010595016,0.008476013,0.063570096,0.088998136,0.254280386,4.839803357,0.148330225,0.228852348,0.00635701,31.17689439,0.17163926,0.027547041,0.044499067,0,0.055094084,1.500254279,1.642227495,1.746058654,0.067808103,0.148330226,0.286065435,0.358111545,0.889981353,0.533988812,0.040261062,30.29327004,0.256399389,0.010595016,0.004238006,0.211900321,1.591371418,0,0.108069165,0.004238006,1.048906594,1.938887947,0.370825564,0.177996271,0.002119003
JZ050,B,1.223341621,0.525535348,0.564786952,0.595315976,0.911509442,0.008722578,0.830825592,0.052335471,0.008722578,0.030529025,0.331457979,0.02834838,0.178812858,0.008722578,0,0.063238692,0.27039993,0.51681277,0.392516029,1.328012561,0.128658031,0.015264512,24.53443238,0.176632213,0.067599983,0.069780627,0.015264512,0.412141829,2.928605696,2.658205765,2.222076844,0.015264512,0.590954686,0.200619304,0.279122509,0.215883815,0.266038641,0.111212874,30.83649527,2.045444634,0.010903223,0.150464478,0.248593484,1.770683412,0.098129007,0.619303066,0.015264512,0.396877317,4.409263378,0.119935453,1.772864058,0.010903223
JZI04,B,2.236605357,0.152439024,0.704718113,0,1.192023191,0.049980008,0.862155137,0.052479009,0.012495002,0.05997601,0.357357057,0.159936026,0.067473011,0.009996002,0.002499,0.159936026,0.169932027,0.132447021,0.164934028,1.671831267,0.244902039,0.029988005,15.0314874,0.037485006,0.007497001,0.18492603,0.027489004,0.157437025,1.426929229,0.049980007,3.908436626,0.002499,0.299880048,10.38584566,0.43732507,0.037485006,0.06497401,0.392343062,29.51569372,0.242403038,0.529788085,0.054978009,0.052479008,7.851859256,0.002499,0.24990004,0.024990004,0.154938023,4.24580168,0.037485006,0.482307077,0
JZJ04,B,0.715056379,0.484461275,0.40195477,0,1.019695784,0,0.389261461,0.112124225,0.008462206,0.008462206,0.25386617,0.025386617,0.048657682,0.01480886,0,0.019039963,0.067697645,0.126933086,0.031733272,9.33592841,0.179821871,0.038079926,5.183100971,0.010577757,0,0.016924411,0.021155514,0.099430917,1.688210032,0.454843555,6.509551715,0.008462206,0.600816604,0.330026021,0.484461274,0.084622057,0.04442658,4.914425946,29.97947915,0.055004338,0.019039963,0.01480886,0.057119888,4.516702281,0,0.224248451,0.027502168,0.770060716,3.979352218,0.033848823,0.763714062,0.002115551
JZ055,B,2.471535684,0.440048705,1.330826907,0,1.298784525,0.019225429,1.555123579,0.079037874,0.036314699,0.098263303,0.944182172,0.262747527,0.145258796,0,0.004272318,0.187981972,0.328968449,0.818148805,0.525495054,0.489180356,0.196526605,0.038450858,15.08555316,0.145258795,0.057676286,0.046995492,0.008544635,0.254202893,3.889945101,4.417576314,2.922265183,0.006408476,0.907867473,0.314015338,0.440048704,0.813876487,0.380236259,0.132441843,28.17379788,0.463546451,0.002136159,0.019225429,0.239249782,1.743105547,0.106807938,0.474227245,0.010680794,0.587443659,7.515006516,0.17302886,2.10198022,0.006408476
